#;Question;No of answers;Personality A;Personality B;Personality C;Personality D
1;Se fossi un animale, quale sarebbe la tua reazione di fronte a chi attacca il tuo territorio?;4;Negoziare;Atteggiamento di difesa;Atteggiamento d'attacco;Nessuna reazione
2;Cosa ti attrae di più degli animali?;4;Personalità;Relazioni;Intelligenza;Potenza
3;Come vorresti essere definito?;4;Un leader degno di nota;Un familiare onesto;Una persona intelligente e colta;Un animo nobile
4;Qual è l'obiettivo di vita che più ti affascina?;4;Un successo entusiasmante;Un successo tranquillo;Un grande gruppo sociale;Per non essere mai ordinario
5;Cosa faresti se qualcuno tagliasse la fila davanti a te?;4;Niente;Mi arrabbierei;Mi vergognerei;Lo rimetterei al suo posto
6;Quali di queste qualità ammireresti di più in un politico?;4;Integrità;Intelligenza;Leadership;Stile
7;Visitando un sito di incontri, quali caratteristiche della personalità ti attirerebbero di più?;4;Vivace e vibrante;Inventiva;La sicurezza di sé;La tranquillità
8;Qual è la tua idea di vacanza?;4;Un viaggio zaino in spalle;Vacanze con la famiglia;Un weekend di teatro a New York;Un evento tranquillo e di basso profilo
9;Dopo essere entrato in una festa, cosa fai per prima cosa?;4;Mi avvicino al gruppo più cool;Non mi faccio notare;Sto solo con i miei amici;Faccio un'entrata in grande stile da diva
10;Cosa fai di più quando sei a casa da solo?;4;Gioco;Dormo e mi rilasso;Leggo un buon libro;Chiamo gli amici al telefono
11;Cosa pensi della tua famiglia?;4;Sono un buon pubblico;Sono i più importanti;Sono un ostacolo;Sono anche degli amici
12;Cosa ne pensi della caccia?;4;Mi fa sentire in colpa;La odio;Gli animali non si uccidono per sport ma ok per mangiare;Amo questo sport
13;Quali animali hanno maggiori probabilità di sopravvivere?;4;Intelligenti;Carini;Piccoli e adattivi;Spietati e potenti
14;Per te la vita è la sopravvivenza del più forte?;4;Presumo che non sia;Credo che sia;Sì, sono d'accordo che i più forti durano a lungo;Dipende
15;Quale tecnica sceglieresti per convincere qualcuno a fare ciò che vuoi?;4;Li guido;Fornisco loro le ragioni della mia richiesta;Dò ordini immutabili;Dipende dalla situazione